1985,Detroit Tigers,AL,Kirk Gibson,685000.00
1985,Detroit Tigers,AL,Johnny Grubb,250000.00
1985,Detroit Tigers,AL,Willie Hernandez,660000.00
1985,Detroit Tigers,AL,Dave LaPoint,380000.00
1985,Detroit Tigers,AL,Juan Berenguer,240000.00
1985,Houston Astros,NL,Joe Niekro,825000.00
1985,Houston Astros,NL,Omar Moreno,700000.00
1985,Houston Astros,NL,Denny Walling,341667.00
1985,Houston Astros,NL,Dickie Thon,675000.00
1985,Houston Astros,NL,Harry Spilman,160000.00
1985,Houston Astros,NL,Dave Smith,500000.00
1985,Houston Astros,NL,Mike Scott,360000.00
1985,Houston Astros,NL,Nolan Ryan,1350000.00
1985,Houston Astros,NL,Craig Reynolds,350000.00
1985,Houston Astros,NL,Kevin Bass,155000.00
1985,Houston Astros,NL,Alan Ashby,416667.00
1985,Houston Astros,NL,Phil Garner,745000.00
1985,Houston Astros,NL,Bill Doran,325000.00
1985,Houston Astros,NL,Frank DiPino,255000.00
1985,Houston Astros,NL,Bill Dawley,295000.00
1985,Houston Astros,NL,Glenn Davis,60000.00
1985,Houston Astros,NL,Jose Cruz,796383.00
1985,Houston Astros,NL,Enos Cabell,291667.00
1985,Houston Astros,NL,Terry Puhl,541667.00
1985,Houston Astros,NL,Bob Knepper,850000.00
1985,Kansas City Royals,AL,Dennis Leonard,871429.00
1985,Kansas City Royals,AL,Darryl Motley,155500.00
1985,Kansas City Royals,AL,Jorge Orta,450000.00
1985,Kansas City Royals,AL,Greg Pryor,316667.00
1985,Kansas City Royals,AL,Dan Quisenberry,975000.00
1985,Kansas City Royals,AL,Bret Saberhagen,150000.00
1985,Kansas City Royals,AL,Pat Sheridan,175000.00
1985,Kansas City Royals,AL,John Wathan,425000.00
1985,Kansas City Royals,AL,Charlie Leibrandt,225000.00
1985,Kansas City Royals,AL,Willie Wilson,843750.00
1985,Kansas City Royals,AL,Jim Sundberg,608333.00
1985,Kansas City Royals,AL,Buddy Black,465000.00
1985,Kansas City Royals,AL,Hal McRae,800000.00
1985,Kansas City Royals,AL,Dennis Lamp,535000.00
1985,Kansas City Royals,AL,Joe Beckwith,358000.00
1985,Kansas City Royals,AL,George Brett,1000000.00
